prénom,sexe,ddn,nombre
AADAM,1,2009,4
AADAM,1,2014,3
AADAM,1,2016,4
AADAM,1,2017,4
AADAM,1,2018,3
AADEL,1,1976,5
AADEL,1,1978,3
AADEL,1,1980,3
AADEL,1,1981,5
AADEL,1,1982,4
AADEL,1,1983,3
AADEL,1,1987,5
AADIL,1,1974,4
AADIL,1,1976,6
AADIL,1,1977,6
AADIL,1,1978,6
AADIL,1,1979,8
AADIL,1,1980,9
AADIL,1,1981,9
AADIL,1,1982,11
AADIL,1,1983,12
AADIL,1,1984,9
AADIL,1,1985,8
AADIL,1,1986,3
AADIL,1,1987,8
AADIL,1,1988,3
AADIL,1,1989,7
AADIL,1,1990,4
AADIL,1,1992,5
AADIL,1,1993,4
AADIL,1,1994,3
AADIL,1,1995,3
AADIL,1,2003,3
AADIL,1,2015,6
AADIL,1,2016,5
AADIL,1,2017,4
AADIL,1,2018,4
AAHIL,1,2014,5
AAHIL,1,2015,4
AAHIL,1,2016,6
AAKASH,1,2001,3
AAKASH,1,2011,3
AARON,1,1907,3
AARON,1,1911,3
AARON,1,1931,3
AARON,1,1935,3
AARON,1,1949,3
AARON,1,1960,3
AARON,1,1962,3
AARON,1,1963,4
AARON,1,1964,4
AARON,1,1965,5
AARON,1,1966,3
AARON,1,1970,4
AARON,1,1975,3
AARON,1,1976,6
AARON,1,1977,3
AARON,1,1979,4
AARON,1,1980,6
AARON,1,1981,10
AARON,1,1982,8
AARON,1,1983,8
AARON,1,1984,8
AARON,1,1985,11
AARON,1,1986,10
AARON,1,1987,15
AARON,1,1988,16
AARON,1,1989,14
AARON,1,1990,24
AARON,1,1991,19
AARON,1,1992,30
AARON,1,1993,18
AARON,1,1994,26
AARON,1,1995,43
AARON,1,1996,34
AARON,1,1997,72
AARON,1,1998,77
AARON,1,1999,93
AARON,1,2000,118
AARON,1,2001,135
AARON,1,2002,131
AARON,1,2003,136
AARON,1,2004,335
AARON,1,2005,439
AARON,1,2006,598
AARON,1,2007,910
AARON,1,2008,1380
AARON,1,2009,1355
AARON,1,2010,1606
AARON,1,2011,1763
AARON,1,2012,1726
AARON,1,2013,1907
AARON,1,2014,2053
AARON,1,2015,2156
AARON,1,2016,2369
AARON,1,2017,2382
AARON,1,2018,2249
AARONE,1,1999,4
AARONE,1,2003,4
